"Year","Period","State","Commodity","Type","Production","Chemical","Materials","Unit","Value"
2019,"MARKETING YEAR","OREGON","BLUEBERRIES","TAME","PRICE RECEIVED",""," "," MEASURED IN $ / LB","0.871"
2019,"MARKETING YEAR","OREGON","BLUEBERRIES","TAME","PRICE RECEIVED",""," "," MEASURED IN $ / LB","1.23"
2019,"MARKETING YEAR","OREGON","BLUEBERRIES","TAME","PRICE RECEIVED",""," "," MEASURED IN $ / LB","0.58"
2019,"MARKETING YEAR","OTHER STATES","BLUEBERRIES","TAME","PRICE RECEIVED",""," "," MEASURED IN $ / LB","2.27"
2019,"MARKETING YEAR","OTHER STATES","BLUEBERRIES","TAME","PRICE RECEIVED",""," "," MEASURED IN $ / LB","0.452"
2019,"MARKETING YEAR","OTHER STATES","RASPBERRIES","FRESH MARKET","PRICE RECEIVED",""," "," MEASURED IN $ / LB","2.9"
2019,"MARKETING YEAR","OTHER STATES","RASPBERRIES","PROCESSING","PRICE RECEIVED",""," "," MEASURED IN $ / LB","0.542"
2019,"MARKETING YEAR","OTHER STATES","STRAWBERRIES","FRESH MARKET","PRICE RECEIVED",""," "," MEASURED IN $ / CWT","129"
2019,"MARKETING YEAR","OTHER STATES","STRAWBERRIES","PROCESSING","PRICE RECEIVED",""," "," MEASURED IN $ / CWT","52.8"
2019,"MARKETING YEAR","WASHINGTON","BLUEBERRIES","TAME","PRICE RECEIVED",""," "," MEASURED IN $ / LB","0.941"
2019,"MARKETING YEAR","WASHINGTON","BLUEBERRIES","TAME","PRICE RECEIVED",""," "," MEASURED IN $ / LB","1.81"
2019,"MARKETING YEAR","WASHINGTON","BLUEBERRIES","TAME","PRICE RECEIVED",""," "," MEASURED IN $ / LB","0.55"
2019,"MARKETING YEAR","WASHINGTON","RASPBERRIES"," ","",""," "," MEASURED IN $ / LB","0.559"
2019,"YEAR","CALIFORNIA","BLUEBERRIES","TAME","",""," ","ACRES HARVESTED","7,300"
2019,"YEAR","CALIFORNIA","BLUEBERRIES","TAME","PRODUCTION",""," "," MEASURED IN LB","73,700,000"
2019,"YEAR","CALIFORNIA","BLUEBERRIES","TAME","YIELD",""," "," MEASURED IN LB / ACRE","10,100"
2019,"YEAR","CALIFORNIA","BLUEBERRIES","TAME","PRODUCTION",""," "," MEASURED IN $","199,930,000"
2019,"YEAR","CALIFORNIA","BLUEBERRIES","TAME","PRODUCTION",""," "," MEASURED IN LB","56,160,000"
2019,"YEAR","CALIFORNIA","BLUEBERRIES","TAME","PRODUCTION",""," "," MEASURED IN LB","1,920,000"
2019,"YEAR","CALIFORNIA","BLUEBERRIES","TAME","PRODUCTION",""," "," MEASURED IN $","4,530,000"
2019,"YEAR","CALIFORNIA","BLUEBERRIES","TAME","PRODUCTION",""," "," MEASURED IN LB","15,620,000"
2019,"YEAR","CALIFORNIA","BLUEBERRIES","TAME","PRODUCTION",""," "," MEASURED IN $","204,460,000"
2019,"YEAR","CALIFORNIA","BLUEBERRIES","TAME","PRODUCTION",""," "," MEASURED IN LB","71,780,000"
2019,"YEAR","CALIFORNIA","RASPBERRIES"," ","",""," ","ACRES HARVESTED","7,500"
2019,"YEAR","CALIFORNIA","RASPBERRIES"," ","",""," "," MEASURED IN LB","143,500,000"
2019,"YEAR","CALIFORNIA","RASPBERRIES"," ","",""," "," MEASURED IN LB / ACRE","19,100"
2019,"YEAR","CALIFORNIA","RASPBERRIES","BEARING","APPLICATIONS","FUNGICIDE","(BOSCALID = 128008)"," MEASURED IN LB","300"
2019,"YEAR","CALIFORNIA","RASPBERRIES","BEARING","APPLICATIONS","FUNGICIDE","(CYPRODINIL = 288202)"," MEASURED IN LB","900"
2019,"YEAR","CALIFORNIA","RASPBERRIES","BEARING","APPLICATIONS","FUNGICIDE","(FLUDIOXONIL = 71503)"," MEASURED IN LB","600"
2019,"YEAR","CALIFORNIA","RASPBERRIES","BEARING","APPLICATIONS","FUNGICIDE","(MYCLOBUTANIL = 128857)"," MEASURED IN LB","300"
2019,"YEAR","CALIFORNIA","RASPBERRIES","BEARING","APPLICATIONS","FUNGICIDE","(PYRACLOSTROBIN = 99100)"," MEASURED IN LB","200"
2019,"YEAR","CALIFORNIA","RASPBERRIES","BEARING","APPLICATIONS","FUNGICIDE","(TOTAL)"," MEASURED IN LB","24,000"
2019,"YEAR","CALIFORNIA","RASPBERRIES","BEARING","APPLICATIONS","HERBICIDE","(TOTAL)"," MEASURED IN LB","200"
2019,"YEAR","CALIFORNIA","RASPBERRIES","BEARING","APPLICATIONS","INSECTICIDE","(ACEQUINOCYL = 6329)"," MEASURED IN LB","600"
2019,"YEAR","CALIFORNIA","RASPBERRIES","BEARING","APPLICATIONS","INSECTICIDE","(BIFENAZATE = 586)"," MEASURED IN LB","700"
2019,"YEAR","CALIFORNIA","RASPBERRIES","BEARING","APPLICATIONS","INSECTICIDE","(METHOXYFENOZIDE = 121027)"," MEASURED IN LB","300"
2019,"YEAR","CALIFORNIA","RASPBERRIES","BEARING","APPLICATIONS","INSECTICIDE","(PYRETHRINS = 69001)"," MEASURED IN LB","200"
2019,"YEAR","CALIFORNIA","RASPBERRIES","BEARING","APPLICATIONS","INSECTICIDE","(SPINETORAM = 110007)"," MEASURED IN LB","200"
2019,"YEAR","CALIFORNIA","RASPBERRIES","BEARING","APPLICATIONS","INSECTICIDE","(SPINOSAD = 110003)"," MEASURED IN LB","600"
2019,"YEAR","CALIFORNIA","RASPBERRIES","BEARING","APPLICATIONS","INSECTICIDE","(TOTAL)"," MEASURED IN LB","45,300"
2019,"YEAR","CALIFORNIA","RASPBERRIES","BEARING","APPLICATIONS","INSECTICIDE","(ZETA-CYPERMETHRIN = 129064)"," MEASURED IN LB","200"
2019,"YEAR","CALIFORNIA","RASPBERRIES","BEARING","APPLICATIONS","OTHER","(TOTAL)"," MEASURED IN LB","98,100"
2019,"YEAR","CALIFORNIA","RASPBERRIES","BEARING","APPLICATIONS","(NITROGEN)"," "," MEASURED IN LB","84,000"
2019,"YEAR","CALIFORNIA","RASPBERRIES","BEARING","APPLICATIONS","FUNGICIDE","(BOSCALID = 128008)"," AVG","0.358"
2019,"YEAR","CALIFORNIA","RASPBERRIES","BEARING","APPLICATIONS","FUNGICIDE","(CYPRODINIL = 288202)"," AVG","0.324"
2019,"YEAR","CALIFORNIA","RASPBERRIES","BEARING","APPLICATIONS","FUNGICIDE","(FLUDIOXONIL = 71503)"," AVG","0.216"
2019,"YEAR","CALIFORNIA","RASPBERRIES","BEARING","APPLICATIONS","FUNGICIDE","(MYCLOBUTANIL = 128857)"," AVG","0.079"
2019,"YEAR","CALIFORNIA","RASPBERRIES","BEARING","APPLICATIONS","FUNGICIDE","(PYRACLOSTROBIN = 99100)"," AVG","0.182"
2019,"YEAR","CALIFORNIA","RASPBERRIES","BEARING","APPLICATIONS","INSECTICIDE","(ACEQUINOCYL = 6329)"," AVG","0.303"
2019,"YEAR","CALIFORNIA","RASPBERRIES","BEARING","APPLICATIONS","INSECTICIDE","(BIFENAZATE = 586)"," AVG","0.501"
2019,"YEAR","CALIFORNIA","RASPBERRIES","BEARING","APPLICATIONS","INSECTICIDE","(METHOXYFENOZIDE = 121027)"," AVG","0.129"
2019,"YEAR","CALIFORNIA","RASPBERRIES","BEARING","APPLICATIONS","INSECTICIDE","(PYRETHRINS = 69001)"," AVG","0.042"
2019,"YEAR","CALIFORNIA","RASPBERRIES","BEARING","APPLICATIONS","INSECTICIDE","(SPINETORAM = 110007)"," AVG","0.077"
2019,"YEAR","CALIFORNIA","RASPBERRIES","BEARING","APPLICATIONS","INSECTICIDE","(SPINOSAD = 110003)"," AVG","0.084"
2019,"YEAR","CALIFORNIA","RASPBERRIES","BEARING","APPLICATIONS","INSECTICIDE","(ZETA-CYPERMETHRIN = 129064)"," AVG","0.046"
2019,"YEAR","CALIFORNIA","RASPBERRIES","BEARING","APPLICATIONS","(NITROGEN)"," "," AVG","1"
2019,"YEAR","CALIFORNIA","RASPBERRIES","BEARING","APPLICATIONS","FUNGICIDE","(BOSCALID = 128008)"," AVG","0.418"
2019,"YEAR","CALIFORNIA","RASPBERRIES","BEARING","APPLICATIONS","FUNGICIDE","(CYPRODINIL = 288202)"," AVG","0.44"
2019,"YEAR","CALIFORNIA","RASPBERRIES","BEARING","APPLICATIONS","FUNGICIDE","(FLUDIOXONIL = 71503)"," AVG","0.293"
2019,"YEAR","CALIFORNIA","RASPBERRIES","BEARING","APPLICATIONS","FUNGICIDE","(MYCLOBUTANIL = 128857)"," AVG","0.085"
2019,"YEAR","CALIFORNIA","RASPBERRIES","BEARING","APPLICATIONS","FUNGICIDE","(PYRACLOSTROBIN = 99100)"," AVG","0.208"
2019,"YEAR","CALIFORNIA","RASPBERRIES","BEARING","APPLICATIONS","INSECTICIDE","(ACEQUINOCYL = 6329)"," AVG","0.31"
2019,"YEAR","CALIFORNIA","RASPBERRIES","BEARING","APPLICATIONS","INSECTICIDE","(BIFENAZATE = 586)"," AVG","0.583"
2019,"YEAR","CALIFORNIA","RASPBERRIES","BEARING","APPLICATIONS","INSECTICIDE","(METHOXYFENOZIDE = 121027)"," AVG","0.131"
2019,"YEAR","CALIFORNIA","RASPBERRIES","BEARING","APPLICATIONS","INSECTICIDE","(PYRETHRINS = 69001)"," AVG","0.166"
2019,"YEAR","CALIFORNIA","RASPBERRIES","BEARING","APPLICATIONS","INSECTICIDE","(SPINETORAM = 110007)"," AVG","0.099"
2019,"YEAR","CALIFORNIA","RASPBERRIES","BEARING","APPLICATIONS","INSECTICIDE","(SPINOSAD = 110003)"," AVG","0.16"
2019,"YEAR","CALIFORNIA","RASPBERRIES","BEARING","APPLICATIONS","INSECTICIDE","(ZETA-CYPERMETHRIN = 129064)"," AVG","0.055"
2019,"YEAR","CALIFORNIA","RASPBERRIES","BEARING","APPLICATIONS","(NITROGEN)"," "," AVG","175"
2019,"YEAR","CALIFORNIA","RASPBERRIES","BEARING","APPLICATIONS","FUNGICIDE","(BOSCALID = 128008)"," AVG","1.2"
2019,"YEAR","CALIFORNIA","RASPBERRIES","BEARING","APPLICATIONS","FUNGICIDE","(CYPRODINIL = 288202)"," AVG","1.4"
2019,"YEAR","CALIFORNIA","RASPBERRIES","BEARING","APPLICATIONS","FUNGICIDE","(FLUDIOXONIL = 71503)"," AVG","1.4"
2019,"YEAR","CALIFORNIA","RASPBERRIES","BEARING","APPLICATIONS","FUNGICIDE","(MYCLOBUTANIL = 128857)"," AVG","1.1"
2019,"YEAR","CALIFORNIA","RASPBERRIES","BEARING","APPLICATIONS","FUNGICIDE","(PYRACLOSTROBIN = 99100)"," AVG","1.1"
2019,"YEAR","CALIFORNIA","RASPBERRIES","BEARING","APPLICATIONS","INSECTICIDE","(ACEQUINOCYL = 6329)"," AVG","1"
2019,"YEAR","CALIFORNIA","RASPBERRIES","BEARING","APPLICATIONS","INSECTICIDE","(BIFENAZATE = 586)"," AVG","1.2"
2019,"YEAR","CALIFORNIA","RASPBERRIES","BEARING","APPLICATIONS","INSECTICIDE","(BT KURSTAKI ABTS-351 = 6522)"," AVG","1.1"
2019,"YEAR","CALIFORNIA","RASPBERRIES","BEARING","APPLICATIONS","INSECTICIDE","(METHOXYFENOZIDE = 121027)"," AVG","1"
2019,"YEAR","CALIFORNIA","RASPBERRIES","BEARING","APPLICATIONS","INSECTICIDE","(PYRETHRINS = 69001)"," AVG","3.9"
2019,"YEAR","CALIFORNIA","RASPBERRIES","BEARING","APPLICATIONS","INSECTICIDE","(SPINETORAM = 110007)"," AVG","1.3"
2019,"YEAR","CALIFORNIA","RASPBERRIES","BEARING","APPLICATIONS","INSECTICIDE","(SPINOSAD = 110003)"," AVG","1.9"
2019,"YEAR","CALIFORNIA","RASPBERRIES","BEARING","APPLICATIONS","INSECTICIDE","(ZETA-CYPERMETHRIN = 129064)"," AVG","1.2"
2019,"YEAR","CALIFORNIA","RASPBERRIES","BEARING","APPLICATIONS","(NITROGEN)"," "," AVG","130.4"
2019,"YEAR","CALIFORNIA","RASPBERRIES","BEARING","TREATED","FUNGICIDE","(BOSCALID = 128008)"," AVG","10"
2019,"YEAR","CALIFORNIA","RASPBERRIES","BEARING","TREATED","FUNGICIDE","(CYPRODINIL = 288202)"," AVG","28"
2019,"YEAR","CALIFORNIA","RASPBERRIES","BEARING","TREATED","FUNGICIDE","(FLUDIOXONIL = 71503)"," AVG","28"
2019,"YEAR","CALIFORNIA","RASPBERRIES","BEARING","TREATED","FUNGICIDE","(MYCLOBUTANIL = 128857)"," AVG","43"
2019,"YEAR","CALIFORNIA","RASPBERRIES","BEARING","TREATED","FUNGICIDE","(PYRACLOSTROBIN = 99100)"," AVG","11"
2019,"YEAR","CALIFORNIA","RASPBERRIES","BEARING","TREATED","FUNGICIDE","(TOTAL)"," AVG","68"
2019,"YEAR","CALIFORNIA","RASPBERRIES","BEARING","TREATED","HERBICIDE","(TOTAL)"," AVG","2"
2019,"YEAR","CALIFORNIA","RASPBERRIES","BEARING","TREATED","INSECTICIDE","(ACEQUINOCYL = 6329)"," AVG","27"
2019,"YEAR","CALIFORNIA","RASPBERRIES","BEARING","TREATED","INSECTICIDE","(BIFENAZATE = 586)"," AVG","16"
2019,"YEAR","CALIFORNIA","RASPBERRIES","BEARING","TREATED","INSECTICIDE","(BT KURSTAKI ABTS-351 = 6522)"," AVG","25"
2019,"YEAR","CALIFORNIA","RASPBERRIES","BEARING","TREATED","INSECTICIDE","(METHOXYFENOZIDE = 121027)"," AVG","33"
2019,"YEAR","CALIFORNIA","RASPBERRIES","BEARING","TREATED","INSECTICIDE","(PYRETHRINS = 69001)"," AVG","19"
2019,"YEAR","CALIFORNIA","RASPBERRIES","BEARING","TREATED","INSECTICIDE","(SPINETORAM = 110007)"," AVG","30"
2019,"YEAR","CALIFORNIA","RASPBERRIES","BEARING","TREATED","INSECTICIDE","(SPINOSAD = 110003)"," AVG","51"
2019,"YEAR","CALIFORNIA","RASPBERRIES","BEARING","TREATED","INSECTICIDE","(TOTAL)"," AVG","83"
2019,"YEAR","CALIFORNIA","RASPBERRIES","BEARING","TREATED","INSECTICIDE","(ZETA-CYPERMETHRIN = 129064)"," AVG","56"
2019,"YEAR","CALIFORNIA","RASPBERRIES","BEARING","TREATED","OTHER","(TOTAL)"," AVG","58"
2019,"YEAR","CALIFORNIA","RASPBERRIES","BEARING","TREATED","(NITROGEN)"," "," AVG","56"
2019,"YEAR","CALIFORNIA","RASPBERRIES","NOT SOLD","PRODUCTION",""," "," MEASURED IN LB","0"
2019,"YEAR","CALIFORNIA","RASPBERRIES","UTILIZED","PRODUCTION",""," "," MEASURED IN $","386,303,000"
2019,"YEAR","CALIFORNIA","RASPBERRIES","UTILIZED","PRODUCTION",""," "," MEASURED IN LB","143,500,000"
2019,"YEAR","CALIFORNIA","STRAWBERRIES"," ","",""," ","ACRES HARVESTED","35,400"
2019,"YEAR","CALIFORNIA","STRAWBERRIES"," ","",""," ","ACRES PLANTED","36,000"
2019,"YEAR","CALIFORNIA","STRAWBERRIES"," ","",""," "," MEASURED IN $","2,221,320,000"
2019,"YEAR","CALIFORNIA","STRAWBERRIES"," ","",""," "," MEASURED IN CWT","20,500,000"
2019,"YEAR","CALIFORNIA","STRAWBERRIES"," ","",""," "," MEASURED IN CWT / ACRE","580"
2019,"YEAR","CALIFORNIA","STRAWBERRIES","BEARING","APPLICATIONS","FUNGICIDE","(AZOXYSTROBIN = 128810)"," MEASURED IN LB","5,500"
2019,"YEAR","CALIFORNIA","STRAWBERRIES","BEARING","APPLICATIONS","FUNGICIDE","(BLAD = 30006)"," MEASURED IN LB","1,200"
2019,"YEAR","CALIFORNIA","STRAWBERRIES","BEARING","APPLICATIONS","FUNGICIDE","(BORAX DECAHYDRATE = 11102)"," MEASURED IN LB","300"
2019,"YEAR","CALIFORNIA","STRAWBERRIES","BEARING","APPLICATIONS","FUNGICIDE","(BOSCALID = 128008)"," MEASURED IN LB","6,200"
2019,"YEAR","CALIFORNIA","STRAWBERRIES","BEARING","APPLICATIONS","FUNGICIDE","(CAPTAN = 81301)"," MEASURED IN LB","283,500"
2019,"YEAR","CALIFORNIA","STRAWBERRIES","BEARING","APPLICATIONS","FUNGICIDE","(CYFLUFENAMID = 555550)"," MEASURED IN LB","400"
2019,"YEAR","CALIFORNIA","STRAWBERRIES","BEARING","APPLICATIONS","FUNGICIDE","(CYPRODINIL = 288202)"," MEASURED IN LB","16,600"
2019,"YEAR","CALIFORNIA","STRAWBERRIES","BEARING","APPLICATIONS","FUNGICIDE","(DIFENOCONAZOLE = 128847)"," MEASURED IN LB","900"
2019,"YEAR","CALIFORNIA","STRAWBERRIES","BEARING","APPLICATIONS","FUNGICIDE","(FENHEXAMID = 90209)"," MEASURED IN LB","15,000"
2019,"YEAR","CALIFORNIA","STRAWBERRIES","BEARING","APPLICATIONS","FUNGICIDE","(FLUDIOXONIL = 71503)"," MEASURED IN LB","11,100"
2019,"YEAR","CALIFORNIA","STRAWBERRIES","BEARING","APPLICATIONS","FUNGICIDE","(FLUOPYRAM = 80302)"," MEASURED IN LB","3,900"
2019,"YEAR","CALIFORNIA","STRAWBERRIES","BEARING","APPLICATIONS","FUNGICIDE","(FLUXAPYROXAD = 138009)"," MEASURED IN LB","3,900"
2019,"YEAR","CALIFORNIA","STRAWBERRIES","BEARING","APPLICATIONS","FUNGICIDE","(FOSETYL-AL = 123301)"," MEASURED IN LB","34,200"
2019,"YEAR","CALIFORNIA","STRAWBERRIES","BEARING","APPLICATIONS","FUNGICIDE","(MEFENOXAM = 113502)"," MEASURED IN LB","9,300"
2019,"YEAR","CALIFORNIA","STRAWBERRIES","BEARING","APPLICATIONS","FUNGICIDE","(MYCLOBUTANIL = 128857)"," MEASURED IN LB","5,600"
2019,"YEAR","CALIFORNIA","STRAWBERRIES","BEARING","APPLICATIONS","FUNGICIDE","(PENTHIOPYRAD = 90112)"," MEASURED IN LB","7,000"
2019,"YEAR","CALIFORNIA","STRAWBERRIES","BEARING","APPLICATIONS","FUNGICIDE","(POLYOXIN D ZINC SALT = 230000)"," MEASURED IN LB","1,400"
2019,"YEAR","CALIFORNIA","STRAWBERRIES","BEARING","APPLICATIONS","FUNGICIDE","(POTASSIUM BICARBON. = 73508)"," MEASURED IN LB","11,300"
2019,"YEAR","CALIFORNIA","STRAWBERRIES","BEARING","APPLICATIONS","FUNGICIDE","(PROPICONAZOLE = 122101)"," MEASURED IN LB","1,600"
2019,"YEAR","CALIFORNIA","STRAWBERRIES","BEARING","APPLICATIONS","FUNGICIDE","(PYRACLOSTROBIN = 99100)"," MEASURED IN LB","7,400"
2019,"YEAR","CALIFORNIA","STRAWBERRIES","BEARING","APPLICATIONS","FUNGICIDE","(PYRIMETHANIL = 288201)"," MEASURED IN LB","9,300"
2019,"YEAR","CALIFORNIA","STRAWBERRIES","BEARING","APPLICATIONS","FUNGICIDE","(QUINOLINE = 55459)"," MEASURED IN LB","4,800"
2019,"YEAR","CALIFORNIA","STRAWBERRIES","BEARING","APPLICATIONS","FUNGICIDE","(SULFUR = 77501)"," MEASURED IN LB","686,000"
2019,"YEAR","CALIFORNIA","STRAWBERRIES","BEARING","APPLICATIONS","FUNGICIDE","(TETRACONAZOLE = 120603)"," MEASURED IN LB","600"
2019,"YEAR","CALIFORNIA","STRAWBERRIES","BEARING","APPLICATIONS","FUNGICIDE","(THIOPHANATE-METHYL = 102001)"," MEASURED IN LB","3,300"
2019,"YEAR","CALIFORNIA","STRAWBERRIES","BEARING","APPLICATIONS","FUNGICIDE","(THIRAM = 79801)"," MEASURED IN LB","90,900"
2019,"YEAR","CALIFORNIA","STRAWBERRIES","BEARING","APPLICATIONS","FUNGICIDE","(TOTAL)"," MEASURED IN LB","1,233,500"
2019,"YEAR","CALIFORNIA","STRAWBERRIES","BEARING","APPLICATIONS","FUNGICIDE","(TRIFLOXYSTROBIN = 129112)"," MEASURED IN LB","4,200"
2019,"YEAR","CALIFORNIA","STRAWBERRIES","BEARING","APPLICATIONS","FUNGICIDE","(TRIFLUMIZOLE = 128879)"," MEASURED IN LB","7,200"
2019,"YEAR","CALIFORNIA","STRAWBERRIES","BEARING","APPLICATIONS","HERBICIDE","(CARFENTRAZONE-ETHYL = 128712)"," MEASURED IN LB","200"
2019,"YEAR","CALIFORNIA","STRAWBERRIES","BEARING","APPLICATIONS","HERBICIDE","(FLUMIOXAZIN = 129034)"," MEASURED IN LB","1,100"
2019,"YEAR","CALIFORNIA","STRAWBERRIES","BEARING","APPLICATIONS","HERBICIDE","(OXYFLUORFEN = 111601)"," MEASURED IN LB","1,300"
2019,"YEAR","CALIFORNIA","STRAWBERRIES","BEARING","APPLICATIONS","HERBICIDE","(PENDIMETHALIN = 108501)"," MEASURED IN LB","5,500"
2019,"YEAR","CALIFORNIA","STRAWBERRIES","BEARING","APPLICATIONS","HERBICIDE","(TOTAL)"," MEASURED IN LB","10,200"
2019,"YEAR","CALIFORNIA","STRAWBERRIES","BEARING","APPLICATIONS","INSECTICIDE","(ABAMECTIN = 122804)"," MEASURED IN LB","500"
2019,"YEAR","CALIFORNIA","STRAWBERRIES","BEARING","APPLICATIONS","INSECTICIDE","(ACEQUINOCYL = 6329)"," MEASURED IN LB","5,400"
2019,"YEAR","CALIFORNIA","STRAWBERRIES","BEARING","APPLICATIONS","INSECTICIDE","(ACETAMIPRID = 99050)"," MEASURED IN LB","2,800"
2019,"YEAR","CALIFORNIA","STRAWBERRIES","BEARING","APPLICATIONS","INSECTICIDE","(AZADIRACHTIN = 121701)"," MEASURED IN LB","800"
2019,"YEAR","CALIFORNIA","STRAWBERRIES","BEARING","APPLICATIONS","INSECTICIDE","(BIFENAZATE = 586)"," MEASURED IN LB","17,900"
2019,"YEAR","CALIFORNIA","STRAWBERRIES","BEARING","APPLICATIONS","INSECTICIDE","(BIFENTHRIN = 128825)"," MEASURED IN LB","7,300"
2019,"YEAR","CALIFORNIA","STRAWBERRIES","BEARING","APPLICATIONS","INSECTICIDE","(CHLORANTRANILIPROLE = 90100)"," MEASURED IN LB","1,900"
2019,"YEAR","CALIFORNIA","STRAWBERRIES","BEARING","APPLICATIONS","INSECTICIDE","(CYANTRANILIPROLE = 90098)"," MEASURED IN LB","900"
2019,"YEAR","CALIFORNIA","STRAWBERRIES","BEARING","APPLICATIONS","INSECTICIDE","(CYFLUMETOFEN = 138831)"," MEASURED IN LB","5,200"
2019,"YEAR","CALIFORNIA","STRAWBERRIES","BEARING","APPLICATIONS","INSECTICIDE","(ETOXAZOLE = 107091)"," MEASURED IN LB","1,200"
2019,"YEAR","CALIFORNIA","STRAWBERRIES","BEARING","APPLICATIONS","INSECTICIDE","(FENPROPATHRIN = 127901)"," MEASURED IN LB","6,000"
2019,"YEAR","CALIFORNIA","STRAWBERRIES","BEARING","APPLICATIONS","INSECTICIDE","(FENPYROXIMATE = 129131)"," MEASURED IN LB","400"
2019,"YEAR","CALIFORNIA","STRAWBERRIES","BEARING","APPLICATIONS","INSECTICIDE","(FLONICAMID = 128016)"," MEASURED IN LB","3,300"
2019,"YEAR","CALIFORNIA","STRAWBERRIES","BEARING","APPLICATIONS","INSECTICIDE","(FLUPYRADIFURONE = 122304)"," MEASURED IN LB","4,800"
2019,"YEAR","CALIFORNIA","STRAWBERRIES","BEARING","APPLICATIONS","INSECTICIDE","(HEXYTHIAZOX = 128849)"," MEASURED IN LB","2,300"
2019,"YEAR","CALIFORNIA","STRAWBERRIES","BEARING","APPLICATIONS","INSECTICIDE","(IMIDACLOPRID = 129099)"," MEASURED IN LB","3,500"
2019,"YEAR","CALIFORNIA","STRAWBERRIES","BEARING","APPLICATIONS","INSECTICIDE","(MALATHION = 57701)"," MEASURED IN LB","56,700"
2019,"YEAR","CALIFORNIA","STRAWBERRIES","BEARING","APPLICATIONS","INSECTICIDE","(METHOXYFENOZIDE = 121027)"," MEASURED IN LB","3,300"
2019,"YEAR","CALIFORNIA","STRAWBERRIES","BEARING","APPLICATIONS","INSECTICIDE","(NALED = 34401)"," MEASURED IN LB","12,700"
2019,"YEAR","CALIFORNIA","STRAWBERRIES","BEARING","APPLICATIONS","INSECTICIDE","(NEEM OIL = 25006)"," MEASURED IN LB","1,100"
2019,"YEAR","CALIFORNIA","STRAWBERRIES","BEARING","APPLICATIONS","INSECTICIDE","(NEEM OIL"," MEASURED IN LB","51,600"
2019,"YEAR","CALIFORNIA","STRAWBERRIES","BEARING","APPLICATIONS","INSECTICIDE","(NOVALURON = 124002)"," MEASURED IN LB","4,600"
2019,"YEAR","CALIFORNIA","STRAWBERRIES","BEARING","APPLICATIONS","INSECTICIDE","(PIPERONYL BUTOXIDE = 67501)"," MEASURED IN LB","1,200"
2019,"YEAR","CALIFORNIA","STRAWBERRIES","BEARING","APPLICATIONS","INSECTICIDE","(PYRETHRINS = 69001)"," MEASURED IN LB","200"
2019,"YEAR","CALIFORNIA","STRAWBERRIES","BEARING","APPLICATIONS","INSECTICIDE","(PYRIPROXYFEN = 129032)"," MEASURED IN LB","100"
